


2022-08-18 20:35:58 [UI OPERATION - ICECREAM] 청소 종료
2022-08-18 20:39:06 [CUP] Dispense Cup : 0
2022-08-18 20:39:06 [UI OPERATION - CUP] 컵 배출(종이1)
2022-08-18 20:40:25 [SYSTEM] PLATFORM PHYSICALLY OPENED NOW
2022-08-18 20:40:41 [SYSTEM] PLATFORM PHYSICALLY CLOSED NOW
2022-08-18 20:40:41 [SYSTEM] PLATFORM PHYSICALLY OPENED NOW
2022-08-18 20:47:17 [CUP] Dispense Cup : 0
2022-08-18 20:47:17 [UI OPERATION - CUP] 컵 배출(종이1)
2022-08-18 20:47:21 [CUP] Dispense Cup : 0
2022-08-18 20:47:21 [UI OPERATION - CUP] 컵 배출(종이1)
2022-08-18 20:47:25 [CUP] Dispense Cup : 1
2022-08-18 20:47:25 [UI OPERATION - CUP] 컵 배출(종이2)
2022-08-18 20:47:29 [CUP] Dispense Cup : 1
2022-08-18 20:47:29 [UI OPERATION - CUP] 컵 배출(종이2)
2022-08-18 20:48:17 [CUP] Dispense Cup : 0
2022-08-18 20:48:17 [UI OPERATION - CUP] 컵 배출(종이1)
2022-08-18 20:48:18 [CUP] Dispense Cup : 1
2022-08-18 20:48:18 [UI OPERATION - CUP] 컵 배출(종이2)
2022-08-18 20:48:19 [CUP] Dispense Cup : 2
2022-08-18 20:48:19 [UI OPERATION - CUP] 컵 배출(PET1)
2022-08-18 20:48:20 [CUP] Dispense Cup : 3
2022-08-18 20:48:20 [UI OPERATION - CUP] 컵 배출(PET2)
2022-08-18 21:57:22 [BARCODE] NEW BARCODE IN : a2738593-> a2738593
2022-08-18 21:57:22 [BARCODE] NEW BARCODE IN : 8z-> a27385938z
2022-08-18 21:57:22 [BARCODE] NEW BARCODE READ : 27385938
2022-08-18 21:57:36 [USER INPUT] EXIT : TERMINATE PROGRAM



2022-08-18 21:57:51 [SYSTEM] Core Program Start
2022-08-18 21:57:51 [ROBOT] ERROR : DISCONNECTED
2022-08-18 21:57:51 [ICE] ERROR : DISCONNECTED 1
